Abel;30-dec-15 
Abir;10-dec-15 
Abraham;18-dec-15
Abshir;29-sep-15
Abby;6 May 2015
Abdirahman;10 Oct 2015
Ada;10-mar-15
Adam;23-dec-15
Adelaide;01-jun-15
Adele;05-sep-15
Adelina;04-apr-15
Adila;17-nov-15
Adanma;13-jan-15
Adela;05-sep-15
Adina;01-jan-15
Aditi;7 May 2015
Adolf;23-jun-15
Ador;15-jan-15
Adrian;04-mar-15
Adriana;04-mar-15
Agata;05-feb-15
Agaton;05-feb-15
Agda;05-feb-15
Agne;13-feb-15
Agnes;21-jan-15
Agneta;21-jan-15
Ahmed;23-dec-15
Aida;31-dec-15
Aiden;08-aug-15
Aiko;20-mar-15
Ailena;10 May 2015
Aina;13-jun-15
Aino;13-jun-15
Ainoa;13-jun-15
Ajaydip;02-jul-15
Ala;25 May 2015
Alba;01-mar-15
Albert;30-aug-15
Albertina;30-aug-15
Albin;01-mar-15
Alda;10-jun-15
Aldo;10-apr-15
Aléa;08-sep-15
Alex;17-feb-15
Alexa;12-dec-15
Alexander;12-dec-15
Alexandra;17-feb-15
Alexis;12-dec-15
Alf;21-jun-15
Alfhild;03-sep-15
Alfons;06-aug-15
Alfred;03-jan-15
Alfrida;03-jan-15
Algot;30-jul-15
Ali;30-jan-15
Aliah;21-aug-15
Alice;23-jun-15
Alicia;23-jun-15
Alida;22-apr-15
Alina;13-feb-15
Alissa;25-aug-15
Allan;22-apr-15
Ally;28-jun-15
Alma;08-sep-15
Aloisia;19-feb-15
Alrik;05-aug-15
Alte;28-feb-15
Altea;15-aug-15
Alva;03-sep-15
Alvar;21-jun-15
Alvie;19-aug-15
Alvin;01-mar-15
Alyssandra;31-aug-15
Amadeus;26 Oct 2015
Amalia;20-apr-15
Amaltea;13 May 2015
Amanda;26 Oct 2015
Amaya;19-feb-15
Ambar;11-jan-15
Amelia;20-apr-15
Amelie;20-apr-15
Ami;1 May 2015
Amie;15-jul-15
Amieé;20 May 2015
Amil;31-aug-15
Amilia;12-jun-15
Amina;25 Oct 2015
Amy;20-aug-15
Anahita;09-dec-15
Anakin;01-apr-15
Anastacia;09-dec-15
Andy;21-mar-15
Andre;10-jul-15
Andrea;10-jul-15
Anders;30-nov-15
Andonis;28-jul-15
Andreas;30-nov-15
Andrine;03-jul-15
Andro;04-mar-15
Anelia;14-feb-15
Angel;04-mar-15
Angela;07-dec-15
Angelia;11-mar-15
Angelica;07-dec-15
Angelika;07-dec-15
Angelina;13-jun-15
Angelique;12-jul-15
Angelo;07-dec-15
Anileah;19-nov-15
Anina;09-sep-15
Aniola;21-aug-15
Anita;09-sep-15
Anja;09-dec-15
Anki;22-mar-15
Ann;09-dec-15
Ann-Charlotte;04-jan-15
Ann-Christin;22-mar-15
Ann-Mari;07-aug-15
Anna;09-dec-15
Anna-Carin;29-jul-15
Anna-Klara;05-jun-15
Anna-Lova;08-feb-15
Anna-Maria;01-jan-15
Anne;09-dec-15
Anne-May;18-jan-15
Anneli;21-apr-15
Annelill;21-feb-15
Annelise;11-dec-15
Annette;09-sep-15
Annie;09-dec-15
Annika;21-apr-15
Annlouise;29-jun-15
Annmarie;07-nov-15
Anny;16-feb-15
Anselm;04-feb-15
Ansgar;04-feb-15
Ante;30-nov-15
Anthon;17-jan-15
Anton;17-jan-15
Antonia;17 Oct 2015
Antonio;17 Oct 2015
Anyarin;15-jan-15
Apaco;13-apr-15
Apollo;11-nov-15
Aram;02-jan-15
Ardeshir;18-sep-15
Ardita;22-dec-15
Are;25-jul-15
Arec;18-jun-15
Arlene;10-aug-15
Arne;04-aug-15
Arnold;04-aug-15
Aron;01-jul-15
Arta;30-nov-15
Artur;13-apr-15
Arvid;31-aug-15
Arvin;24-aug-15
Asal;3 May 2015
Asgeir;29-sep-15
Ashanti;26-aug-15
Asmir;24-jun-15
Assar;16-dec-15
Assia;05-apr-15
Asta;27-nov-15
Aston;22-aug-15
Astor;26-apr-15
Astra;27-jun-15
Astrid;27-nov-15
Athena;17-jun-15
Atle;08-aug-15
Attila;07-jan-15
August;07-jan-15
Augusta;07-jan-15
Aurora;03-jul-15
Ava;1 May 2015
Avalea;01-aug-15
Axel;16-jun-15
Axelina;16-jun-15
Aydin;01-jan-15
Ayla;14-jun-15
Ayodele;30-nov-15
Azad;01-jan-15
Azrael;19-jan-15
Azza;07-jul-15
Babbe;05-aug-15
Bajsaava;08-jul-15
Balder;15-aug-15
Baldur;21 Oct 2015
Baltsar;06-jan-15
Barbara;04-dec-15
Barbro;04-dec-15
Bartek;26 May 2015
Bartolomeus;24-aug-15
Bassim;05-mar-15
Beata;02-dec-15
Beatrice;02-dec-15
Beda;27 May 2015
Belinda;20-jun-15
Bella;20-aug-15
Belle;06-jul-15
Benedicte;21-aug-15
Bengt;21-mar-15
Bengt-Arne;2 Oct 2015
Benita;07-aug-15
Benjamin;28-dec-15
Benny;25-jan-15
Beren;12-mar-15
Berfin;10-nov-15
Berit;13 Oct 2015
Bernadett;18-feb-15
Bernhard;20-aug-15
Bernhardina;20-aug-15
Bernie;11-mar-15
Bernt;20-aug-15
Bert;08-feb-15
Berta;08-feb-15
Berthold;11-jun-15
Bertil;11-jun-15
Besim;12-jul-15
Bessie;19-nov-15
Betty;19-nov-15
Bianca;09-jun-15
Bilal;12-mar-15
Bill;06-apr-15
Bille;20-nov-15
Billie;20-nov-15
Billy;20-nov-15
Bim;25-dec-15
Binta;19-jan-15
Birger;09-jun-15
Birgit;13 Oct 2015
Birgitta;7 Oct 2015
Birk;06-aug-15
Birna;18-jun-15
Bjarne;18-jun-15
Björk;14 May 2015
Björn;18-jun-15
Blanca;22-jun-15
Blenda;27 May 2015
Bo;05-jun-15
Bob;07-jul-15
Bob-Filip;14-sep-15
Bobbie;15 May 2015
Bodil;26-jan-15
Boel;26-jan-15
Bogdan;23-jan-15
Bolli;24-dec-15
Bonde;21 May 2015
Borghild;28 May 2015
Boris;10-jun-15
Botvid;28-jul-15
Brandon;5 Oct 2015
Britt;7 Oct 2015
Britta;7 Oct 2015
Brody;26-apr-15
Bror;5 Oct 2015
Bruno;17-jul-15
Brynhilde;16-aug-15
Brynolf;16-aug-15
Buffy;16-jul-15
Börje;09-jun-15
Caily;10-sep-15
Camilla;07-mar-15
Carina;7 May 2015
Carita;7 May 2015
Carl;06-jun-15
Carola;20 May 2015
Caroline;20 May 2015
Carsten;13-nov-15
Caspian;17-feb-15
Cassandra;04-jun-15
Castania;21-dec-15
Castor;05-mar-15
Catlin;03-mar-15
Catrin;25-nov-15
Catrine;25-nov-15
Cecilia;22-nov-15
Celine;08-mar-15
Cesar;5 May 2015
Chanelle;28-dec-15
Chanellie;15-nov-15
Chaninat;17-jun-15
Charles;28-jan-15
Charlie;28-jan-15
Charlize;22-aug-15
Charlotta;12 May 2015
Charlotte;12 May 2015
Chatrine;25-nov-15
Chelsea;1 May 2015
Christel;15-mar-15
Christian;13-nov-15
Christin;24-jan-15
Christina;24-jul-15
Christine;24-jul-15
Christofer;10-jun-15
Christoffer;15-mar-15
Christopher-Robin;19-sep-15
Cilla;09-jan-15
Cim;20-mar-15
Cindy;22-mar-15
Cinnika;29-nov-15
Claire;13 May 2015
Clary;12-dec-15
Claudia;23-jan-15
Clements;20-nov-15
Clint;07-jul-15
Clinton;09-aug-15
Colin;29-mar-15
Conny;21 May 2015
Constance;21-jan-15
Cornelia;01-apr-15
Cornelis;9 May 2015
Cornelius;12-dec-15
Cristian;03-mar-15
Dag;16-sep-15
Daga;16-sep-15
Dagmar;27-sep-15
Dagny;11-sep-15
Dalia;20-jun-15
Damien;07-jun-15
Damon;07-jun-15
Dan;11-dec-15
Dani;20-jun-15
Daniat;06-sep-15
Danica;12 Oct 2015
Daniel;11-dec-15
Daniela;11-dec-15
Danielle;11-dec-15
Danika;12 Oct 2015
Danny;11-dec-15
Dante;02-jan-15
Darin;24-jul-15
Darius;21-aug-15
Darlene;26-jan-15
Dasiny;18-jun-15
David;25-jun-15
Dax;07-jul-15
Debora;14 Oct 2015
Delia;25-jul-15
Delsa;16-feb-15
Denin;20-jan-15
Denisa;27-feb-15
Denise;07-aug-15
Deniz;07-aug-15
Dennis;07-aug-15
Denny;17-jan-15
Deria;11 Oct 2015
Desideria;23 May 2015
Desirée;23 May 2015
Devin;22-jan-15
Dexter;23-jan-15
Diana;29-jan-15
Dick;07-feb-15
Dicsi;26 Oct 2015
Dina;20-apr-15
Dirk;02-jan-15
Disa;03-feb-15
Dominic;07-jun-15
Donato;24-nov-15
Donna;27-jan-15
Dorentina;16-jan-15
Doris;06-feb-15
Dorotea;06-feb-15
Dorsa;25-mar-15
Douglas;13-apr-15
Dragan;10 May 2015
Dragi;12-dec-15
Dusan;1 May 2015
Dylan;29-mar-15
Ebba;06-mar-15
Ebbe;06-mar-15
Ebbot;06-mar-15
Ecio;26-jun-15
Eddie;18-mar-15
Edgar;31 Oct 2015
Edit;31 Oct 2015
Edla;10-mar-15
Edmund;18-mar-15
Edolf;28-aug-15
Edvard;18-mar-15
Edvin;11-mar-15
Edvina;11-mar-15
Eevi;12-feb-15
Efe;04-apr-15
Effie;26-jun-15
Egon;11-mar-15
Eila;26-jan-15
Eilert;24 Oct 2015
Einar;26-sep-15
Eira;13-nov-15
Eivor;08-jun-15
Elaine;30-sep-15
Elda;07-jul-15
Eleah;30-apr-15
Eleonora;11-jul-15
Elfa;10-jan-15
Elfrida;04-aug-15
Elias;17-apr-15
Elicia;19-nov-15
Elin;31-jul-15
Elina;25-apr-15
Eline;31-jul-15
Elis;17-apr-15
Elisa;20-sep-15
Elisabet;19-nov-15
Elise;20-sep-15
Elita;19-feb-15
Ella;19-feb-15
Elle;05-mar-15
Ellen;18-aug-15
Ellie;19-nov-15
